STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720619 14:00,0.02, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720621 12:00,0.01, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720625 05:00,0.05, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720625 06:00,0.01, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720625 18:00,0.04, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720630 14:00,0.05, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720630 19:00,0.05, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720701 01:00,0.00,g, 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720701 23:00,0.01, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720702 00:00,0.02, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720702 01:00,0.06, , 
COOP:396937,RAPID CITY REGIONAL AIRPORT SD US,963.8,44.05,-103.06667,19720702 02:00,0.10, , 
